nombre,ciudad,provincia,telefono,email,instagram,web,fuente,lat,lon,fecha
Peluquería caballeros Florencio,Madrid,Madrid,,,,,osm,40.484238,-3.6871567,2026-05-18
Alafa,Zaragoza,Aragón,,,,,osm,41.6458892,-0.8891362,2026-05-18
peluquería Iniesta,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3690009,-0.4351289,2026-05-18
peluquería Sonia Valero,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3675704,-0.4340081,2026-05-18
peluquería caballeros,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3674541,-0.4276548,2026-05-18
pelu,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3751877,-0.4195226,2026-05-18
Hatuaire,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3748228,-0.4195127,2026-05-18
Por los pelos,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3677257,-0.4219484,2026-05-18
María,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3675613,-0.4228231,2026-05-18
C & Arte,Madrid,Madrid,,,,,osm,40.482653,-3.6703097,2026-05-18
Cruz Sanz,Madrid,Madrid,,,,,osm,40.440176,-3.6444939,2026-05-18
Ramos Peluqueros,Logroño,La Rioja,,,,,osm,42.4648843,-2.4362471,2026-05-18
Francisco,Zaragoza,Aragón,,,,,osm,41.6415524,-0.8703791,2026-05-18
Peluquería Sylvia,La Cavada,Cantabria,,,,,osm,43.3520717,-3.7028553,2026-05-18
Curra,La Cavada,Cantabria,,,,,osm,43.3521799,-3.7056807,2026-05-18
Juanjo,Elche,Alicante,,,,,osm,38.2729756,-0.5398495,2026-05-18
Moda y Estilo,Elche,Alicante,,,,,osm,38.2735298,-0.5390469,2026-05-18
Marce,Elche,Alicante,,,,,osm,38.273169,-0.5376864,2026-05-18
Peluquería IM,Pamplona / Iruña,Navarra,,,,,osm,42.823562,-1.6531455,2026-05-18
Lely,Igualada,Catalunya,,,,,osm,41.5731533,1.6085703,2026-05-18
Blanc Peluqueros,Dénia,Comunitat Valenciana,+34965788300,,,,osm,38.8400206,0.1066857,2026-05-18
The Viking barber shop,Salamanca,Castilla y León,+34644253251,,,,osm,40.9693799,-5.6748417,2026-05-18
Azul,Donostia / San Sebastián,Euskadi,,,,,osm,43.3036013,-1.977252,2026-05-18
Fussion,Donostia / San Sebastián,Euskadi,,,,,osm,43.3050157,-1.9755415,2026-05-18
Ainhoa,Donostia / San Sebastián,Euskadi,,,,,osm,43.3048142,-1.9741782,2026-05-18
Kiribil,Donostia / San Sebastián,Euskadi,,,,,osm,43.311051,-2.005421,2026-05-18
Urbans,Errenteria,Euskadi,,,,,osm,43.3171602,-1.9303817,2026-05-18
Mayi,Zegama,Euskadi,,,,,osm,42.9772231,-2.2894712,2026-05-18
C>M,Montcada i Reixac,Catalunya,,,,,osm,41.4932057,2.1861615,2026-05-18
Inma Sasiain,Donostia / San Sebastián,Euskadi,,,,,osm,43.3109601,-1.965842,2026-05-18
Garland,Alacant / Alicante,Comunitat Valenciana,,,,,osm,38.3930554,-0.5179211,2026-05-18
LB,Donostia / San Sebastián,Euskadi,,,,,osm,43.3091142,-1.9811612,2026-05-18
Ederka,Donostia / San Sebastián,Euskadi,,,,,osm,43.3092516,-1.9812814,2026-05-18
Beatriz Ortega,Donostia / San Sebastián,Euskadi,,,,,osm,43.3165732,-1.9839413,2026-05-18
